SEED,DATA_No,motor_torque,magnet_area
0,0,0.131059517,19.28393283
0,1,0.137609936,13.60843127
0,2,0.174922698,23.55804826
0,3,0.024285221,7.34628881
0,4,0.035015205,7.44723405
0,5,0.00777253,5.343948608
0,6,0.113580347,11.28646128
0,7,0.035733188,6.019552251
0,8,0.027549785,9.860986774
0,9,0.043380867,10.68279003
0,10,0.089300294,13.32423413
0,11,0.089579273,13.2594293
0,12,0.165757281,18.34975678
0,13,0.100077021,14.13877595
0,14,0.140105501,13.73962467
0,15,0.039698799,10.32438445
0,16,0.070961487,9.910899316
0,17,0.096415297,7.852313515
0,18,0.016580191,6.645999814
0,19,0.158353998,17.13459123
0,20,0.074990029,8.038653863
0,21,0.056946701,10.30540422
0,22,0.026144434,5.333146838
0,23,0.14303636,17.15418566
0,24,0.013767681,7.137484072
0,25,0.169442284,23.16985004
0,26,0.079805948,7.371302216
0,27,0.161189906,22.39852117
0,28,0.040012797,7.382613259
0,29,0.093817835,11.92915071
0,30,0.104171331,10.82964397
0,31,0.024196965,8.371877068
0,32,0.118517079,11.69343591
0,33,0.047895105,11.22899665
0,34,0.00187919,4.981868845
0,35,0.080110015,11.74808507
0,36,0.11039848,7.351643568
0,37,0.131323384,10.59660785
0,38,0.05686293,11.62805577
0,39,0.023644949,8.126241921
0,40,0.073281886,9.214718554
0,41,0.171006325,31.71178486
0,42,0.072672969,12.70506306
0,43,0.008941815,7.396243716
0,44,0.166429649,14.12836315
0,45,0.146665266,19.70270584
0,46,0.075301368,8.35343992
0,47,0.017473895,7.39252994
0,48,0.163386216,14.54897981
0,49,0.060227567,10.6233949
0,50,0.125009826,14.40025292
0,51,0.075431121,9.432492902
0,52,0.039330574,8.276356058
0,53,0.177634525,22.1915297
0,54,0.13187482,14.26904322
0,55,0.035248962,9.639754051
0,56,0.157822984,21.27947838
0,57,0.117559818,15.7664206
0,58,0.133220299,18.65477019
0,59,0.123383792,7.748280791
0,60,0.001833512,5.390291693
0,61,0.075023881,12.14857263
0,62,0.105216623,10.89120803
0,63,0.001878346,4.234735168
0,64,0.024120658,9.350488351
0,65,0.02876001,7.561338021
0,66,0.00428806,6.958426273
0,67,0.104713037,8.517857778
0,68,0.050284668,8.284453981
0,69,0.131093621,14.45953122
0,70,0.141484576,11.45266136
0,71,0.092758979,13.8232835
0,72,0.164697683,21.331267
0,73,0.115123342,13.14494604
0,74,0.161148585,18.16457606
0,75,0.117574922,9.435272073
0,76,0.001485309,4.84190421
0,77,0.125215085,17.03483161
0,78,0.075220965,13.41121858
0,79,0.027163738,6.958105778
0,80,0.174790684,28.11722289
0,81,0.112795082,11.34827985
0,82,0.169695177,29.24997012
0,83,0.00102103,4.005509201
0,84,0.105280356,11.22750199
0,85,0.084536284,9.896389899
0,86,0.044732225,5.332791233
0,87,0.133452483,8.868498743
0,88,0.17041511,16.42123346
0,89,0.147364589,11.27613855
0,90,0.140337367,14.10894346
0,91,0.024923833,10.2215555
0,92,0.051810776,8.817266434
0,93,0.153827498,12.80607911
0,94,0.100608428,16.16282174
0,95,0.008091496,7.478260447
0,96,0.082098824,9.759472737
0,97,0.078240321,7.14746237
0,98,0.156015299,21.77126097
0,99,0.068422156,6.832231753
1,0,0.163446234,18.03831153
1,1,0.010561832,4.743403511
1,2,0.087557835,13.21467991
1,3,0.139791075,20.41718977
1,4,0.130785909,15.36846194
1,5,0.062605719,11.23382579
1,6,0.001140626,4.304929644
1,7,0.037308292,4.571371219
1,8,0.177989548,25.799551
1,9,0.120108746,11.00146509
1,10,0.163320556,14.85069983
1,11,0.03590809,10.44298119
1,12,0.132910629,13.38623202
1,13,0.001245356,4.447559507
1,14,0.094064936,11.64249355
1,15,0.132394644,18.15124677
1,16,0.145989124,15.63186896
1,17,0.093117582,14.03648979
1,18,0.09665621,11.57937795
1,19,0.131822361,10.48375311
1,20,0.022537734,7.589401595
1,21,0.027065757,8.64187803
1,22,0.157964962,20.389854
1,23,0.086742374,11.06786566
1,24,0.084572965,9.475426249
1,25,0.14353043,12.99067015
1,26,0.170017782,26.11905464
1,27,0.033387047,10.80364997
1,28,0.070960509,12.04165137
1,29,0.156836744,16.10328367
1,30,0.021787271,9.475768334
1,31,0.12375521,14.19060862
1,32,0.072117562,11.00705856
1,33,0.108393422,16.28678153
1,34,0.043679277,10.12246786
1,35,0.119549129,12.90991645
1,36,0.033031051,6.322183581
1,37,0.014993789,7.421520518
1,38,0.157883643,17.27393873
1,39,0.159664423,14.19057167
1,40,0.157045367,14.55524103
1,41,0.003024023,6.055044179
1,42,0.076661018,10.88913724
1,43,0.176403837,21.06493001
1,44,0.151287014,13.0214928
1,45,0.05834339,9.743564568
1,46,0.005851484,4.84298749
1,47,0.11130268,7.197255972
1,48,0.031351419,8.609390048
1,49,0.085917607,6.67001707
1,50,0.008278141,7.724319678
1,51,0.002735995,6.420431931
1,52,0.094241516,4.751688586
1,53,0.076658593,11.73522828
1,54,0.002106124,5.247521727
1,55,0.053486997,10.16939343
1,56,0.150153709,16.35168378
1,57,0.087242716,11.12041413
1,58,0.048299438,8.547197765
1,59,0.118638416,10.76616416
1,60,0.001740702,5.326599363
1,61,0.08456905,8.720605119
1,62,0.062181421,11.3347327
1,63,0.131502888,13.71796773
1,64,0.138737129,8.148634573
1,65,0.016503793,6.591158474
1,66,0.011415939,5.771801097
1,67,0.036041664,9.729945393
1,68,0.04038857,8.693591095
1,69,0.117872576,14.20464852
1,70,0.144608892,18.16984269
1,71,0.165392339,21.00792524
1,72,0.152880789,10.86631787
1,73,0.119595206,15.20581052
1,74,0.138693661,20.79741281
1,75,0.086418507,8.962325108
1,76,0.005087524,6.486006585
1,77,0.089257981,12.01493358
1,78,0.148253792,11.96641738
1,80,0.093804454,14.10621205
1,81,0.066953373,12.36404589
1,82,0.135566697,8.361069446
1,83,0.025580579,6.31914544
1,84,0.17258664,20.33498075
1,85,0.177244915,24.95822013
1,86,0.031413712,9.448317708
1,87,0.016242535,4.923391202
1,88,0.096038857,11.36644457
1,89,0.028822206,8.660459165
1,90,0.157871679,19.06703802
1,91,0.1059127,9.037264776
1,92,0.032643439,9.820540854
1,93,0.171933863,26.92094618
1,94,0.165845873,15.75191847
1,95,0.032439763,9.450309836
1,96,0.155682498,21.81805771
1,97,0.112816166,13.49493311
1,98,0.130125447,18.54958949
1,99,0.08902598,9.89061765
2,0,0.001892753,5.101010016
2,1,0.074517381,13.22722306
2,2,0.146852663,20.06573218
2,3,0.010656172,8.238810212
2,4,0.039599769,9.377244769
2,5,0.133540468,17.10060888
2,6,0.026910394,6.723531913
2,7,0.004393438,5.914406087
2,8,0.04244436,9.483122509
2,9,0.068013494,12.01859397
2,10,0.129204213,9.118788871
2,11,0.145592139,19.66327247
2,12,0.001974956,5.769580725
2,13,0.174413881,21.64054982
2,14,0.058428049,12.54723608
2,15,0.140020127,16.27893478
2,16,0.136117022,14.53330953
2,17,0.010969556,4.618968881
2,18,0.143572192,9.666029116
2,19,0.145557262,11.76342972
2,20,0.134980515,17.6847445
2,21,0.067518701,9.899782764
2,22,0.007862572,5.774023788
2,23,0.057342128,11.06607504
2,24,0.062895343,6.3656459
2,25,0.066433452,8.743206124
2,26,0.168402253,18.23945726
2,27,0.001863509,5.696786097
2,28,0.038848086,9.657396539
2,29,0.028930289,5.133559847
2,30,0.145490492,16.01923954
2,31,0.001365255,4.384062685
2,32,0.136196451,12.33571269
2,33,0.153862603,18.49055601
2,34,0.005080771,5.212171283
2,35,0.038182012,6.703992615
2,36,0.049727668,6.198044518
2,37,0.139763552,18.9345591
2,38,0.15530598,22.81848219
2,39,0.136842729,11.54717611
2,40,0.013919478,8.15598456
2,41,0.121941764,9.510472216
2,42,0.13674814,9.788153438
2,43,0.155692661,12.60965177
2,44,0.140126394,12.46212332
2,45,0.008258223,7.765732639
2,46,0.064771848,8.858618817
2,47,0.139623145,12.17709528
2,48,0.110711779,16.63629891
2,49,0.176892575,20.83564124
2,50,0.009845807,5.832831599
2,51,0.148448487,15.17240679
2,52,0.06080916,10.98392768
2,53,0.128901072,10.87611999
2,54,0.083273064,8.072458042
