d_loss,g_loss
10.316004753112793,-45.48237609863281
0.9195828437805176,-53.04599380493164
-6.525478363037109,-52.21165466308594
3.4145419597625732,0.6787793040275574
-7.993652820587158,-49.33293533325195
-4.842286586761475,-26.068410873413086
-13.02580738067627,15.215867042541504
-10.664189338684082,-3.6696908473968506
-7.633906841278076,-51.06181335449219
-7.793715000152588,8.702409744262695
-1.3317700624465942,-20.394004821777344
-13.094222068786621,-80.43755340576172
2.80362606048584,-18.25972557067871
-4.795396327972412,-20.726701736450195
-17.713895797729492,-36.32404327392578
-5.582036972045898,-77.32035827636719
-10.472214698791504,-86.97000122070312
-10.999018669128418,-89.48668670654297
-5.307459354400635,-98.90643310546875
-9.9096097946167,-113.63397216796875
-10.222274780273438,-111.84979248046875
-10.637652397155762,-73.15070343017578
-9.266936302185059,-107.9903335571289
-8.98247241973877,-87.7269515991211
-5.435066223144531,-74.7015151977539
-0.7623624205589294,20.7546443939209
-8.747532844543457,-2.712240219116211
-5.6545281410217285,-32.39559555053711
-9.636802673339844,-7.370212078094482
-3.454317331314087,-99.48983764648438
-4.6704840660095215,-102.91068267822266
-9.253752708435059,-24.714200973510742
-12.310330390930176,-69.6886978149414
-4.6488423347473145,-108.4955062866211
-6.154653072357178,-56.81927490234375
-7.187683582305908,-67.60628509521484
-4.240880966186523,-68.93225860595703
-4.620456695556641,29.916337966918945
-3.415339708328247,38.42441177368164
-7.831470012664795,31.726667404174805
-6.339994430541992,-43.17435836791992
-1.4949144124984741,-106.3017349243164
-6.851269245147705,-130.1235809326172
-5.046779155731201,-144.64735412597656
-5.279983997344971,-63.42080307006836
-4.346189975738525,-1.6725012063980103
-2.2714717388153076,-66.85784912109375
-5.342600345611572,-84.78620147705078
-6.373321533203125,-117.74014282226562
-1.4183238744735718,-120.41204833984375
